"persona_id","account_name","name","role","role_label","batch","experience","years_in_pool_world","tech_comfort","urgency","device","connection","accessibility_need","language","current_workflow","company_size","primary_goal","completed_first_value","wow_moment","time_to_value_seconds","ease_score","clarity_score","trust_score","usefulness_score","use_again_score","pain_points","positive_signals","simulated_feedback","evidence_type","persistence"
"DEMO-TEST-SL-TECH-001","DEMO TEST Service Tech 001","Morgan Diaz","tech","Service Tech","1","2-5 years","5","1","5","Android","offline-first","screen reader","English","Google search","6-20","identify an equipment code","true","true","68.6","70.5","70","66.1","86.3","82.6","","manual code lookup is fast and verification language builds trust|persona reached a recognizable field value moment in the first session","SIMULATED PERSONA FEEDBACK: The e05 lookup renders field guidance and verification language made the value click. I would use this again on a real stop.","synthetic_model_not_real_user_feedback","none; no account created; DEMO TEST identifier exists only in this report"
"DEMO-TEST-SL-TECH-002","DEMO TEST Service Tech 002","Taylor Patel","tech","Service Tech","1","11-20 years","11","4","3","Android","spotty","none","English","memory and photos","6-20","prepare a senior-tech packet","true","true","52.4","90.7","89.3","81.7","93.2","91","","manual code lookup is fast and verification language builds trust|persona reached a recognizable field value moment in the first session","SIMULATED PERSONA FEEDBACK: The e05 lookup renders field guidance and verification language made the value click. I would use this again on a real stop.","synthetic_model_not_real_user_feedback","none; no account created; DEMO TEST identifier exists only in this report"
"DEMO-TEST-SL-TECH-003","DEMO TEST Service Tech 003","Alex Brooks","tech","Service Tech","1","6-10 years","8","1","3","iPhone","good","high cognitive load","English","manufacturer manuals","solo","calculate a field dose","true","true","60.8","70.7","67.2","73.5","85.9","84.2","too_many_tools_visible_after_role_choice","manual code lookup is fast and verification language builds trust|persona reached a recognizable field value moment in the first session","SIMULATED PERSONA FEEDBACK: The e05 lookup renders field guidance and verification language made the value click. The first improvement I would ask for is too many tools visible after role choice.","synthetic_model_not_real_user_feedback","none; no account created; DEMO TEST identifier exists only in this report"
"DEMO-TEST-SL-TECH-004","DEMO TEST Service Tech 004","Casey Nguyen","tech","Service Tech","1","2-5 years","5","2","1","iPhone","good","none","Spanish-first","manufacturer manuals","21-50","calculate a field dose","true","true","64.5","79.4","78.4","72.9","89.3","86.3","language_choice_not_part_of_first_use_role_step","manual code lookup is fast and verification language builds trust|persona reached a recognizable field value moment in the first session","SIMULATED PERSONA FEEDBACK: The e05 lookup renders field guidance and verification language made the value click. The first improvement I would ask for is language choice not part of first use role step.","synthetic_model_not_real_user_feedback","none; no account created; DEMO TEST identifier exists only in this report"
"DEMO-TEST-SL-TECH-005","DEMO TEST Service Tech 005","Cameron Diaz","tech","Service Tech","1","21+ years","25","5","1","iPhone","spotty","none","English/Spanish","CRM plus manuals","21-50","prepare a senior-tech packet","true","true","59.4","88.4","84.4","82.6","92","90.5","language_choice_not_part_of_first_use_role_step","manual code lookup is fast and verification language builds trust|persona reached a recognizable field value moment in the first session","SIMULATED PERSONA FEEDBACK: The e05 lookup renders field guidance and verification language made the value click. The first improvement I would ask for is language choice not part of first use role step.","synthetic_model_not_real_user_feedback","none; no account created; DEMO TEST identifier exists only in this report"
"DEMO-TEST-SL-TECH-006","DEMO TEST Service Tech 006","Cameron Kim","tech","Service Tech","1","0-1 years","0","2","5","iPhone","good","none","English","memory and photos","51+","save visit proof","true","true","65.8","76.6","76.9","69.3","88.6","84.9","no_cross_device_team_history_without_optional_identity","manual code lookup is fast and verification language builds trust|persona reached a recognizable field value moment in the first session","SIMULATED PERSONA FEEDBACK: The e05 lookup renders field guidance and verification language made the value click. The first improvement I would ask for is no cross device team history without optional identity.","synthetic_model_not_real_user_feedback","none; no account created; DEMO TEST identifier exists only in this report"
"DEMO-TEST-SL-TECH-007","DEMO TEST Service Tech 007","Drew Reed","tech","Service Tech","1","6-10 years","8","1","4","iPhone","good","none","English","CRM plus manuals","solo","prepare a senior-tech packet","true","true","85.6","66.4","81.4","79.1","87.2","86.4","value_requires_too_many_first_session_decisions","manual code lookup is fast and verification language builds trust|persona reached a recognizable field value moment in the first session","SIMULATED PERSONA FEEDBACK: The e05 lookup renders field guidance and verification language made the value click. The first improvement I would ask for is value requires too many first session decisions.","synthetic_model_not_real_user_feedback","none; no account created; DEMO TEST identifier exists only in this report"
"DEMO-TEST-SL-TECH-008","DEMO TEST Service Tech 008","Casey Johnson","tech","Service Tech","1","0-1 years","1","1","4","Android","good","high cognitive load","English","paper notes","2-5","save visit proof","true","true","87.5","58.2","70","71.6","83.8","82.4","too_many_tools_visible_after_role_choice|no_cross_device_team_history_without_optional_identity|value_requires_too_many_first_session_decisions","manual code lookup is fast and verification language builds trust|persona reached a recognizable field value moment in the first session","SIMULATED PERSONA FEEDBACK: The e05 lookup renders field guidance and verification language made the value click. The first improvement I would ask for is too many tools visible after role choice.","synthetic_model_not_real_user_feedback","none; no account created; DEMO TEST identifier exists only in this report"
"DEMO-TEST-SL-TECH-009","DEMO TEST Service Tech 009","Jamie Walker","tech","Service Tech","1","21+ years","22","5","3","iPhone","good","none","Spanish-first","paper notes","51+","prepare a senior-tech packet","true","false","58.3","82.4","86.3","80.4","77.1","70.2","language_choice_not_part_of_first_use_role_step","manual code lookup is fast and verification language builds trust","SIMULATED PERSONA FEEDBACK: I could see the purpose, but the first session did not create a strong enough payoff. Main friction: language choice not part of first use role step.","synthetic_model_not_real_user_feedback","none; no account created; DEMO TEST identifier exists only in this report"
"DEMO-TEST-SL-TECH-010","DEMO TEST Service Tech 010","Cameron Patel","tech","Service Tech","1","6-10 years","7","3","2","desktop","good","none","English","texting a senior tech","6-20","prepare a senior-tech packet","true","false","43","93","88.4","73.4","79.5","70.1","","manual code lookup is fast and verification language builds trust","SIMULATED PERSONA FEEDBACK: I could see the purpose, but the first session did not create a strong enough payoff. I needed a clearer next best action.","synthetic_model_not_real_user_feedback","none; no account created; DEMO TEST identifier exists only in this report"
